athlete_id,athlete_name,country_code,gender,sports,events
235,BLAIRON Nils,FRA,M,Bobsleigh,4-man
236,BLAIS Danae,CAN,F,Short Track Speed Skating,Women's 3000m Relay
237,BLANC Malorie,SUI,F,Alpine Skiing,Women's Downhill/Women's Super-G
238,BLICHFELD Joachim,DEN,M,Ice Hockey,Men
239,BLIZZARD Sarah,AUS,F,Bobsleigh,2-woman
240,BLOEMEN Ted-Jan,CAN,M,Speed Skating,Men's 5000m/Men's 10000m
241,BLOIS de Glenn,NED,M,Snowboard,Men's Snowboard Cross
242,BLONDIN Ivanie,CAN,F,Speed Skating,Women's 1500m/Women's 3000m/Women's 5000m/Women's Mass Start/Women's Team Pursuit
243,BLOUIN Laurie,CAN,F,Snowboard,Women's Snowboard Slopestyle/Women's Snowboard Big Air
244,BLUGERS Teodors,LAT,M,Ice Hockey,Men
245,BOCH Margot,FRA,F,Bobsleigh,2-woman/Women's Monobob
246,BOCOCK Mary,USA,F,Alpine Skiing,Women's Super-G
247,BOER Teun,NED,M,Short Track Speed Skating,Men's 1000m/Men's 5000m Relay/Mixed Team Relay
248,BOERSMA Anna,NED,F,Speed Skating,Women's 500m/Women's 1000m
249,BOESCH Fabian,SUI,M,Freestyle Skiing,Men's Freeski Slopestyle/Men's Freeski Big Air
250,BOGDANOVA Kitija,LAT,F,Luge,Women's Doubles/Team Relay
251,BOHAC Radek,CZE,M,Curling,Men
252,BOLDY Matt,USA,M,Ice Hockey,Men
253,BONAFINI Eleonora,ITA,F,Ice Hockey,Women
254,BONDARE Liene,LAT,F,Alpine Skiing,To be defined
255,BORGNAES Christian,DEN,M,Alpine Skiing,Men's Giant Slalom
256,BORGULA Jakub,SVK,M,Biathlon,Men's 10km Sprint/Men's 12.5km Pursuit/Mixed Relay 4 x 6km (M+W)
257,BORKOVSKYI Bohdan,UKR,M,Biathlon,Men's 10km Sprint
258,BORMOLINI Maurizio,ITA,M,Snowboard,Men's Parallel Giant Slalom
259,BOS Kimberley,NED,F,Skeleton,Women
260,BOSCACCI Michele,ITA,M,Ski Mountaineering,Men's Sprint/Mixed Relay
261,BOSCO Emma,AUS,F,Freestyle Skiing,Women's Moguls/Women's Dual Moguls
262,BOSCQ Jules,FRA,M,Ice Hockey,Men
263,BOSIEK Karolina,POL,F,Speed Skating,Women's 500m/Women's 1000m/Women's 1500m
264,BOSKER Marcel,NED,M,Speed Skating,Men's 1500m/Men's 5000m/Men's 10000m/Men's Team Pursuit
265,BOSMAN Christian,SVK,M,Luge,Men's Doubles
266,BOTA Elina,LAT,F,Luge,Women's Singles/Team Relay
267,BOTN Johan-Olav,NOR,M,Biathlon,Men's 20km Individual/Men's 10km Sprint/Men's 12.5km Pursuit
268,BOTS Martins,LAT,M,Luge,Men's Doubles/Team Relay
269,BOUCHARD Eli,CAN,M,Snowboard,Men's Snowboard Slopestyle/Men's Snowboard Big Air
270,BOUDIN Clemence,FRA,F,Ice Hockey,Women
271,BOUDON Louis,FRA,M,Ice Hockey,Men
272,BOUFFARD-NESBITT Olivia,CAN,F,Cross-Country Skiing,Women's Sprint Classic
273,BOUTIN Kim,CAN,F,Short Track Speed Skating,Women's 500m/Women's 3000m Relay/Mixed Team Relay
274,BOUVARD Eve,BEL,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
275,BOUVENG Josefin,SWE,F,Ice Hockey,Women
276,BOWE Brittany,USA,F,Speed Skating,Women's 1000m/Women's 1500m/Women's Team Pursuit
277,BOYD-CLOWES Mackenzie,CAN,M,Ski Jumping,Men's NH Individual
278,BOZON Kevin,FRA,M,Ice Hockey,Men
279,BOZZOLO Loan,FRA,M,Snowboard,Men's Snowboard Cross
280,BRADLEY Matt,ITA,M,Ice Hockey,Men
281,BRAENDLI Andrea,SUI,F,Ice Hockey,Women
282,BRAISAZ-BOUCHET Justine,FRA,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
283,BRANDT Viktor,SWE,M,Biathlon,Men's 20km Individual
284,BRATT Jesper,SWE,M,Ice Hockey,Men
285,BRAUN Violette,FRA,F,Speed Skating,Women's 3000m
286,BRAUNHOFER Patrick,ITA,M,Biathlon,Men's 20km Individual
287,BRECL Gasper,SLO,M,Nordic Combined,Individual Gundersen Normal Hill/10km
288,BRENNAN Rosie,USA,F,Cross-Country Skiing,Women's 10km + 10km Skiathlon
289,BRENNSTEINER Stefan,AUT,M,Alpine Skiing,To be defined
290,BRESADOLA Giovanni,ITA,M,Ski Jumping,Men's NH Individual/Mixed Team
291,BRIGNONE Federica,ITA,F,Alpine Skiing,Women's Downhill/Women's Super-G
292,BRIGUET Robin,SUI,M,Freestyle Skiing,Men's Freeski Halfpipe
293,BRISSAUD Geoffrey,FRA,M,Figure Skating,Ice Dance/Team Event
294,BRITCHER Summer,USA,F,Luge,Women's Singles
295,BRITSCHGI Lukas,SUI,M,Figure Skating,Men Single Skating
296,BROBERG Philip,SWE,M,Ice Hockey,Men
297,BROOKES Mia,GBR,F,Snowboard,Women's Snowboard Slopestyle/Women's Snowboard Big Air
298,BROWN Axel,TTO,M,Bobsleigh,2-man/4-man
299,BROWN Indra,AUS,F,Freestyle Skiing,Women's Freeski Halfpipe
300,BROWN Rachel,CAN,F,Curling,Women
301,BRUDERMANN Katharina,AUT,F,Cross-Country Skiing,Women's 10km Interval Start Free
302,BRUGGELING Keaton,CAN,M,Bobsleigh,4-man
303,BRUGGER Janosch,GER,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's Sprint Classic
304,BRUGGISSER Phillip,DEN,M,Ice Hockey,Men
305,BRUNELLE Florence,CAN,F,Short Track Speed Skating,Women's 500m/Women's 3000m Relay/Mixed Team Relay
306,BRUNET Cedrick,CAN,M,Speed Skating,Men's 500m/Men's 1000m
307,BRUNGA Lisa,ALB,F,Alpine Skiing,To be defined
308,BRUNNER Blanca,HUN,F,Snowboard,Women's Snowboard Cross
309,BRUNNER Stephanie,AUT,F,Alpine Skiing,To be defined
310,BRUSIC Josip,CAN,M,Skeleton,Men
311,BRYJA Sebastian,POL,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
312,BRYKINA Anhelina,UKR,F,Freestyle Skiing,Women's Aerials
313,BU LUER,CHN,M,Ski Mountaineering,Men's Sprint/Mixed Relay
314,BUCHER Heidi,AUT,F,Cross-Country Skiing,Women's Sprint Classic
315,BUCHI Annic,SUI,F,Ice Hockey,Women
316,BUCHUKURI Luka,GEO,M,Alpine Skiing,To be defined
317,BUCIK JOGAN Ana,SLO,F,Alpine Skiing,Women's Team Combined
318,BUCK Kaylie,CAN,F,Snowboard,Women's Parallel Giant Slalom
319,BUCKWITZ Lisa,GER,F,Bobsleigh,2-woman/Women's Monobob
320,BUEHLER Mauro,LIE,M,Bobsleigh,4-man
321,BUENEMANN de BESCHE Anne,DEN,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
322,BUFF Vinzenz,SUI,M,Skeleton,Men
323,BUKARTS Rihards,LAT,M,Ice Hockey,Men
324,BUKARTS Roberts,LAT,M,Ice Hockey,Men
325,BUKI Adam,HUN,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
326,BUKOWSKA-CHYC Maria,POL,F,Snowboard,Women's Parallel Giant Slalom
327,BULINA Sanita,LAT,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint
328,BURGENER Patrick,BRA,M,Snowboard,Men's Snowboard Halfpipe
329,BURGER Nicole,RSA,F,Skeleton,Women
330,BURIC Katarina,CRO,F,Short Track Speed Skating,To be defined
331,BURKHALTER Joscha,SUI,M,Biathlon,Men's 20km Individual/Men's 10km Sprint/Men's 12.5km Pursuit
332,BURRI Ariane,SUI,F,Snowboard,Women's Snowboard Slopestyle/Women's Snowboard Big Air
