date,time,sport,event,gender,country_code,athlete_name,position
02/14/2026,06:30,Alpine Skiing,Men's Giant Slalom,Men,BRA,PINHEIRO B,1
02/14/2026,06:30,Alpine Skiing,Men's Giant Slalom,Men,SUI,ODERMATT M,2
02/14/2026,06:30,Alpine Skiing,Men's Giant Slalom,Men,SUI,MEILLARD L,3
02/24/2026,07:45,Biathlon,Women's 7.5 km Sprint,Women,NOR,KIRKEEIDE M,1
02/24/2026,07:45,Biathlon,Women's 7.5 km Sprint,Women,FRA,MICHELON O,2
02/24/2026,07:45,Biathlon,Women's 7.5 km Sprint,Women,FRA,JEANMONNOT L,3
02/14/20026,10:00,Speed Skating,Men's 500m,Men,USA,STOLZ J,1
02/14/20026,10:00,Speed Skating,Men's 500m,Men,NED,de BOO J,2
02/14/20026,10:00,Speed Skating,Men's 500m,Men,CAN,DUBREUIL L,3
02/14/2026,12:35,Skeleton,Women,Women,AUT,FLOCK J,1
02/14/2026,12:35,Skeleton,Women,Women,GER,KREHER S,2
02/14/2026,12:35,Skeleton,Women,Women,GER,PFEIFER J,3
02/14/2026,12:57,Ski Jumping,Men's Large Hill Individual,Men,SLO,PREVC D,1
02/14/2026,12:57,Ski Jumping,Men's Large Hill Individual,Men,JPN,NIKAIDO R,2
02/14/2026,12:57,Ski Jumping,Men's Large Hill Individual,Men,POL,TOMASIAK K,3
02/14/2026,15:42,Short Track Speed Skating,Men's 1500m,Men,NED,van T WOUT J,1
02/14/2026,15:42,Short Track Speed Skating,Men's 1500m,Men,KOR,HWANG D,2
02/14/2026,15:42,Short Track Speed Skating,Men's 1500m,Men,LAT,KRUZBERGS R,3
02/15/2026,04:15,Biathlon,Men's 12.5 km Pursuit,Men,SWE,PONSILUOMA M,1
02/15/2026,04:15,Biathlon,Men's 12.5 km Pursuit,Men,NOR,LAEGREID D,2
02/15/2026,04:15,Biathlon,Men's 12.5 km Pursuit,Men,FRA,JACQUELIN E,3
02/15/2026,04:46,Freestyle Skiing,Men's Dual Moguls,Men,CAN,KINGSBURY M,1
02/15/2026,04:46,Freestyle Skiing,Men's Dual Moguls,Men,JPN,HORISHIMA I,2
02/15/2026,04:46,Freestyle Skiing,Men's Dual Moguls,Men,AUS,GRAHAM M,3
02/15/2026,06:30,Alpine Skiing,Women's Giant Slalom,Women,ITA,BRIGNONE F,1
02/15/2026,06:30,Alpine Skiing,Women's Giant Slalom,Women,SWE,HECTOR S,2
02/15/2026,06:30,Alpine Skiing,Women's Giant Slalom,Women,NOR,STJERNESUND T,2
02/15/2026,07:45,Biathlon,Women's 10 km Prusuit,Women,ITA,VITTOZZI L,1
02/15/2026,07:45,Biathlon,Women's 10 km Prusuit,Women,NOR,KIRKEEIDE M,2
02/15/2026,07:45,Biathlon,Women's 10 km Prusuit,Women,FIN,MINKKINEN S,3
02/15/2026,10:03,Speed Skating,Women's 500 m,Women,NED,KOK F,1
02/15/2026,10:03,Speed Skating,Women's 500 m,Women,NED,LEERDAM J,2
02/15/2026,10:03,Speed Skating,Women's 500 m,Women,JPN,TAKAGI M,3
02/15/2026,12:57,Ski Jumping,Women's Large Hill Individual,Women,NOR,STROEM Anna Odine,1
02/15/2026,12:57,Ski Jumping,Women's Large Hill Individual,Women,NOR,KVANDAL Eirin Maria,2
02/15/2026,12:57,Ski Jumping,Women's Large Hill Individual,Women,SLO,PREVC N,3
02/16/2026,05:47,Short Track Speed Skating,Women's 1000 m,Women,NED,VELZEBOER X,1
02/16/2026,05:47,Short Track Speed Skating,Women's 1000 m,Women,CAN,SARAULT C,2
02/16/2026,05:47,Short Track Speed Skating,Women's 1000 m,Women,KOR,KIM G,3
02/16/2026,06:30,Alpine Skiing,Men's Slalom,Men,SUI,MEILLARD L,1
02/16/2026,06:30,Alpine Skiing,Men's Slalom,Men,AUT,GSTREIN F,2
02/16/2026,06:30,Alpine Skiing,Men's Slalom,Men,NOR,KRISTOFFERSEN H,3
02/16/2026,14:06,Bobsleigh,Women's Monobob,Women,USA,MEYERS TAYLOR E,1
02/16/2026,14:06,Bobsleigh,Women's Monobob,Women,GER,NOLTE L,2
02/16/2026,14:06,Bobsleigh,Women's Monobob,Women,USA,ARMBRUSTER HUMPHRIES K,3
02/16/2026,14:32,Freestyle Skiing,Women's Freeski Big Air,Women,CAN,OLDHAM M,1
02/16/2026,14:32,Freestyle Skiing,Women's Freeski Big Air,Women,CHN,GU Ailing E,2
02/16/2026,14:32,Freestyle Skiing,Women's Freeski Big Air,Women,ITA,TABANELLI F,3
02/17/2026,06:45,Nordic Combined,Men's Individual 10 km Large Hill,Men,NOR,OFTEBRO Jens Luraas,1
02/17/2026,06:45,Nordic Combined,Men's Individual 10 km Large Hill,Men,AUT,LAMPARTER J,2
02/17/2026,06:45,Nordic Combined,Men's Individual 10 km Large Hill,Men,FIN,HEROLA I,3
02/17/2026,12:30,Freestyle Skiing,Men's Freeski Big Air,Men,NOR,FROSTAD T,1
02/17/2026,12:30,Freestyle Skiing,Men's Freeski Big Air,Men,USA,FOREHAND M,2
02/17/2026,12:30,Freestyle Skiing,Men's Freeski Big Air,Men,AUT,SVANCER M,3
02/18/2026,05:16,Snowboard,Men's Slopestyle,Men,CHN,SU Y,1
