team_id,team_name,gender_category
536,United States of America,Women
537,United States of America,Men
538,United States of America 1,Mixed
539,United States of America 1,Women
540,United States of America 2,Women
541,United States of America 2,Mixed
542,United States of America 3,Women
543,United States of America 4,Women
544,ZINGAS Emilea/KOLESNIK Vadym,Mixed
554,United States,Men
