athlete_id,event_id,ranking
888,115,NULL
894,120,NULL
895,12,NULL
895,14,NULL
896,45,NULL
896,51,NULL
897,89,NULL
899,29,NULL
899,25,NULL
899,28,NULL
900,45,NULL
900,51,NULL
901,104,NULL
901,113,NULL
903,119,NULL
905,113,NULL
905,102,NULL
905,115,NULL
907,11,NULL
907,13,NULL
907,15,NULL
909,46,NULL
909,52,NULL
911,56,NULL
912,46,3
912,52,NULL
915,56,NULL
916,89,2
917,11,NULL
917,13,NULL
917,15,NULL
918,117,NULL
920,48,NULL
920,50,NULL
921,45,NULL
921,51,NULL
923,15,NULL
923,91,NULL
924,117,NULL
925,96,NULL
926,98,NULL
926,15,NULL
926,91,NULL
927,21,NULL
931,118,NULL
934,12,NULL
934,14,NULL
935,83,NULL
937,29,NULL
937,25,NULL
938,55,NULL
939,29,NULL
939,25,NULL
939,28,NULL
940,117,NULL
942,117,NULL
943,30,3
946,96,NULL
948,120,NULL
950,69,NULL
955,92,NULL
957,116,NULL
960,45,NULL
960,51,NULL
961,41,NULL
962,25,NULL
963,103,NULL
963,107,NULL
964,117,NULL
966,79,NULL
968,69,3
972,104,NULL
972,113,NULL
974,56,NULL
975,12,NULL
975,14,NULL
976,100,NULL
976,94,NULL
977,89,NULL
978,11,NULL
978,13,NULL
978,15,NULL
981,100,NULL
981,94,NULL
982,109,NULL
982,104,NULL
983,117,NULL
984,30,NULL
984,27,NULL
985,30,NULL
985,26,NULL
985,27,NULL
986,30,NULL
986,26,NULL
986,27,NULL
987,117,NULL
990,98,NULL
991,98,NULL
992,82,NULL
993,30,NULL
993,26,NULL
994,69,NULL
995,82,NULL
1000,29,NULL
1001,93,NULL
1003,45,NULL
1003,51,NULL
1005,83,NULL
1006,88,NULL
1007,11,NULL
1007,13,NULL
1007,15,NULL
1008,62,NULL
1009,117,NULL
1010,83,NULL
1011,29,NULL
1011,25,NULL
1012,102,NULL
1012,106,NULL
1012,115,NULL
1013,93,NULL
1017,30,NULL
1017,26,NULL
1020,118,NULL
1022,6,NULL
1024,117,NULL
1026,12,NULL
1027,29,NULL
1027,25,NULL
1027,28,NULL
1029,113,NULL
1029,102,NULL
1029,115,NULL
1030,48,3
1030,50,2
1032,11,NULL
1032,13,NULL
1032,15,NULL
1033,11,NULL
1033,13,NULL
1033,15,NULL
1034,14,NULL
1036,96,NULL
1039,95,NULL
1041,57,NULL
1043,12,3
1043,14,NULL
1044,116,NULL
1044,4,NULL
1046,57,NULL
1047,15,NULL
1047,91,NULL
1048,97,NULL
1049,21,NULL
1050,92,NULL
1054,7,NULL
1055,1,NULL
1055,5,3
1056,118,NULL
1058,95,NULL
1060,118,NULL
1061,103,NULL
1061,114,NULL
1064,53,NULL
1065,72,NULL
1066,63,NULL
1068,97,NULL
1069,55,NULL
1070,53,NULL
1071,30,NULL
1071,27,NULL
1072,29,NULL
1072,25,NULL
1073,29,NULL
1073,28,NULL
1074,11,NULL
1074,13,NULL
1075,69,NULL
1076,109,NULL
1077,109,NULL
1078,82,NULL
1079,79,NULL
1080,4,NULL
1081,83,NULL
1082,11,NULL
1082,13,NULL
1082,15,NULL
1085,83,NULL
1086,56,NULL
1087,55,NULL
1088,59,NULL
1089,12,NULL
1089,14,NULL
1092,82,NULL
1094,55,NULL
1095,122,NULL
1096,100,NULL
1096,94,NULL
1098,109,NULL
1098,104,NULL
1101,59,NULL
1102,11,NULL
1102,13,NULL
1102,15,3
1103,30,NULL
1103,27,NULL
1105,89,NULL
1106,12,NULL
1106,14,NULL
1107,29,NULL
1107,28,NULL
1108,11,NULL
1108,13,NULL
1108,15,NULL
1109,117,NULL
1111,98,2
1112,15,NULL
1112,91,NULL
1113,29,NULL
1113,25,NULL
1113,28,NULL
1114,5,NULL
1116,29,NULL
1116,28,NULL
1118,89,NULL
1121,69,NULL
1122,102,NULL
1122,106,NULL
1122,115,NULL
1123,117,NULL
1124,12,2
1124,14,3
1125,48,NULL
1125,50,NULL
1126,11,NULL
1126,13,NULL
1127,82,NULL
1133,93,NULL
1137,112,NULL
1137,103,2
1137,107,1
1137,114,NULL
1138,40,NULL
1139,12,NULL
1140,15,NULL
1140,91,NULL
1142,116,NULL
1142,4,NULL
1143,28,NULL
1144,54,NULL
1145,12,NULL
1145,14,NULL
1146,12,NULL
1152,108,NULL
1152,105,NULL
1153,1,1
1153,5,NULL
1155,82,NULL
1155,86,NULL
1156,47,NULL
1156,49,NULL
1157,95,NULL
1160,82,NULL
1160,86,NULL
1161,28,NULL
1162,98,NULL
1164,27,NULL
1167,48,NULL
1167,50,NULL
1168,117,NULL
1169,62,NULL
1170,79,NULL
1172,30,NULL
1173,79,2
1174,14,NULL
1177,29,NULL
1177,25,NULL
1178,29,NULL
1178,25,NULL
1180,29,NULL
1180,25,NULL
1181,29,NULL
1181,25,NULL
1182,40,2
1183,28,NULL
1186,41,NULL
1191,21,NULL
1192,83,NULL
1195,118,NULL
1197,71,NULL
1199,108,NULL
1199,105,NULL
1201,29,NULL
1201,28,NULL
1202,30,NULL
1202,27,NULL
1204,57,NULL
1205,83,NULL
1206,82,NULL
1207,12,NULL
1207,14,NULL
1208,29,NULL
1208,25,NULL
1208,28,NULL
1209,45,NULL
1209,51,NULL
1210,69,NULL
1211,41,NULL
1212,117,NULL
1213,48,NULL
1213,50,NULL
1215,59,NULL
1216,92,1
1217,11,NULL
1217,13,NULL
1217,15,NULL
1219,29,1
1219,25,1
1221,100,NULL
1221,94,NULL
1224,117,NULL
1225,6,NULL
1227,47,2
1227,49,2
1232,11,NULL
1232,13,NULL
1234,79,NULL
1239,30,NULL
1243,56,NULL
1244,120,NULL
1245,102,NULL
1245,106,NULL
1245,115,NULL
1246,25,NULL
1246,28,NULL
1247,30,NULL
1248,30,NULL
1248,26,NULL
1248,27,NULL
1249,117,NULL
1250,71,NULL
1251,55,NULL
1252,117,NULL
1254,96,NULL
1255,75,NULL
1255,72,NULL
1255,73,NULL
1256,96,2
1257,59,NULL
1258,98,NULL
1259,71,NULL
1260,118,NULL
1262,40,NULL
1264,79,NULL
1265,108,NULL
1266,105,NULL
1266,112,NULL
1267,109,NULL
1267,104,NULL
1269,92,2
